Geometry Dash 2.2 beta ARMv7 native import manifest
imports=396 objects=5

RUNTIME ORDER (the SVC/import trampoline mapping actually used by Dynarmic)
INDEX	SVC	STUB	GROUP	NAME
0	1	0x21000000	LIBC	strcmp
1	2	0x21000008	LIBC	fwrite
2	3	0x21000010	LIBC	strdup
3	4	0x21000018	LIBC	longjmp
4	5	0x21000020	LIBC	isspace
5	6	0x21000028	LIBC	pthread_create
6	7	0x21000030	LIBC	free
7	8	0x21000038	LIBC	calloc
8	9	0x21000040	LIBC	malloc
9	10	0x21000048	LIBC	realloc
10	11	0x21000050	LIBC	fread
11	12	0x21000058	GL	glGetShaderiv
12	13	0x21000060	GL	glGetShaderInfoLog
13	14	0x21000068	GL	glGetProgramiv
14	15	0x21000070	GL	glGetProgramInfoLog
15	16	0x21000078	LIBC	__google_potentially_blocking_region_begin
16	17	0x21000080	LIBC	__google_potentially_blocking_region_end
17	18	0x21000088	LIBC	__gnu_Unwind_Find_exidx
18	19	0x21000090	LIBC	__cxa_atexit
19	20	0x21000098	LIBC	__cxa_finalize
20	21	0x210000a0	LIBC	__stack_chk_fail
21	22	0x210000a8	LIBC	floorf
22	23	0x210000b0	LIBC	qsort
23	24	0x210000b8	LIBC	memmove
24	25	0x210000c0	LIBC	strlen
25	26	0x210000c8	LIBC	memset
26	27	0x210000d0	LIBC	strtok
27	28	0x210000d8	LIBC	memcmp
28	29	0x210000e0	LIBC	atoi
29	30	0x210000e8	GL	glLineWidth
30	31	0x210000f0	LIBC	clock_gettime
31	32	0x210000f8	LIBC	ceilf
32	33	0x21000100	LIBC	atof
33	34	0x21000108	LIBC	rand
34	35	0x21000110	GL	glEnable
35	36	0x21000118	GL	glDisable
36	37	0x21000120	LIBC	printf
37	38	0x21000128	LIBC	powf
38	39	0x21000130	LIBC	sinf
39	40	0x21000138	LIBC	cosf
40	41	0x21000140	LIBC	fopen
41	42	0x21000148	LIBC	fclose
42	43	0x21000150	LIBC	sqrtf
43	44	0x21000158	LIBC	roundf
44	45	0x21000160	LIBC	tolower
45	46	0x21000168	LIBC	cos
46	47	0x21000170	LIBC	sin
47	48	0x21000178	LIBC	acos
48	49	0x21000180	LIBC	atan2
49	50	0x21000188	FMOD	_ZN4FMOD5Sound7releaseEv
50	51	0x21000190	FMOD	_ZN4FMOD6System5closeEv
51	52	0x21000198	FMOD	_ZN4FMOD6System7releaseEv
52	53	0x210001a0	FMOD	_ZN4FMOD6System6updateEv
53	54	0x210001a8	FMOD	_ZN4FMOD3DSP15getMeteringInfoEP22FMOD_DSP_METERING_INFOS2_
54	55	0x210001b0	FMOD	_ZN4FMOD14ChannelControl9getPausedEPb
55	56	0x210001b8	FMOD	_ZN4FMOD14ChannelControl9getVolumeEPf
56	57	0x210001c0	FMOD	_ZN4FMOD14ChannelControl9setVolumeEf
57	58	0x210001c8	FMOD	FMOD_System_Create
58	59	0x210001d0	FMOD	_ZN4FMOD6System10getVersionEPj
59	60	0x210001d8	FMOD	_ZN4FMOD6System9setOutputE15FMOD_OUTPUTTYPE
60	61	0x210001e0	FMOD	_ZN4FMOD6System17getSoftwareFormatEPiP16FMOD_SPEAKERMODES1_
61	62	0x210001e8	FMOD	_ZN4FMOD6System17setSoftwareFormatEi16FMOD_SPEAKERMODEi
62	63	0x210001f0	FMOD	_ZN4FMOD6System4initEijPv
63	64	0x210001f8	FMOD	_ZN4FMOD6System11mixerResumeEv
