frame,total_ms,event_ms,render_ms,swap_ms,gpu_ms,estimated_ticks,jit_runs,svc_calls,import_calls,jni_calls,gl_calls,draw_calls,draw_vertices,buffer_upload_bytes,texture_upload_bytes,allocation_calls,free_calls,reallocation_calls,live_heap_bytes,scene_hint,top_imports,top_gl
1,20.2938,2.7317,17.5325,0.0285,15.9396,9213952,8998,8998,8997,0,82,10,126,2016,0,2,8851,0,6062400,,free:8851|memcpy:31|glVertexAttribPointer:30|memcmp:28|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:7|glBindTexture:7|glEnable:4|glBindBuffer:4,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:7|glBindTexture:7|glEnable:4|glBindBuffer:4|glBlendFunc:4
2,883.7390,0.0639,883.6490,0.0255,434.4392,756828096,607281,607254,607253,0,86,10,126,0,8388608,118060,81788,10,12888432,,strlen:134053|malloc:118050|strcmp:90473|free:81778|memcpy:72793|memchr:42561|memcmp:19739|memset:17995|atof:16330|strcpy:13075,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
3,437.0870,0.0632,436.8469,0.1488,122.7336,307845824,188349,188326,188325,0,86,10,126,0,6946976,35946,24937,0,14865904,,strlen:41029|malloc:35946|strcmp:27509|memcpy:24963|free:24937|memchr:13015|memcmp:6110|memset:5515|atof:4954|strcpy:4003,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
4,509.5190,0.0013,509.4916,0.0256,131.1171,338431104,203572,203546,203545,0,86,10,126,0,7848074,38451,26595,0,16981088,,strlen:43600|malloc:38451|strcmp:29507|memcpy:29186|free:26595|memchr:13893|memcmp:6322|memset:5856|atof:5300|strcpy:4250,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
5,135.4552,0.0854,135.3443,0.0248,13.8158,53552000,23006,23000,22999,0,86,10,126,0,2134178,3743,2582,0,17195168,,memcpy:5604|strlen:4247|malloc:3743|strcmp:2838|free:2582|memchr:1413|memcmp:745|memset:574|atof:500|strcpy:411,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
6,196.6095,0.0808,196.5036,0.0244,58.6742,128158400,90982,90975,90974,0,86,10,126,0,2332800,17122,11837,0,18173408,,strlen:19417|malloc:17122|memcpy:13203|strcmp:13121|free:11837|memchr:6233|memcmp:2864|memset:2610|atof:2350|strcpy:1891,glVertexAttribPointer:30|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:8|glBindTexture:8|glEnable:4|glBindBuffer:4|glBlendFunc:4
7,1535.5962,0.0829,1535.4845,0.0283,1166.9176,1284914368,1025354,1025307,1025306,0,140,10,126,0,15239434,195673,134508,1,29548320,,strlen:226979|malloc:195672|strcmp:154306|free:134507|memcpy:127635|memchr:69570|memcmp:35842|memset:30702|atof:26124|strcpy:22287,glVertexAttribPointer:30|glTexParameteri:28|glActiveTexture:14|glBindTexture:14|glUniformMatrix4fv:10|glDrawArrays:9|glPixelStorei:7|glGenTextures:7
8,63.7458,0.4688,63.2545,0.0216,13.9919,23087744,12783,12781,12780,0,131,10,126,0,2376736,969,665,0,29598672,,memcpy:7058|strlen:1061|malloc:969|free:665|memchr:644|strcmp:565|memcmp:547|fread:545|tolower:178|memset:162,glVertexAttribPointer:30|glTexParameteri:24|glActiveTexture:13|glBindTexture:13|glUniformMatrix4fv:10|glDrawArrays:9|glPixelStorei:6|glGenTextures:6
9,16.5107,0.0745,16.4188,0.0168,0.3604,5315584,5191,5191,5190,0,131,10,126,0,256152,256,208,0,29602608,,,
10,91.2832,0.0659,91.1963,0.0206,38.2188,104474432,97144,97143,97142,0,127,10,126,756,653804,20049,18766,436,29671040,,memcpy:18801|malloc:18757|free:18547|memcmp:13734|strlen:13489|memchr:5477|sscanf:4119|strtok:1711|calloc:1073|realloc:436,glVertexAttribPointer:30|glBindBuffer:20|glUniformMatrix4fv:10|glDrawArrays:9|glActiveTexture:9|glBindTexture:9|glBufferData:8|glTexParameteri:8
